SourceFile,Label,Probability
313404.mp3,Air brake,0.1056
70544.mp3,Air brake,0.1055
161745.mp3,Air brake,0.1044
249791.mp3,Air brake,0.1042
261849.mp3,Air brake,0.1042
28853.mp3,Air brake,0.1032
264673.mp3,Air brake,0.1028
7299.mp3,Air brake,0.1026
212572.mp3,Air brake,0.1005
296448.mp3,Air brake,0.0985
253314.mp3,Air brake,0.0978
238414.mp3,Air brake,0.0972
277079.mp3,Air brake,0.0968
74412.mp3,Air brake,0.094
262950.mp3,Air brake,0.0927
306036.mp3,Air brake,0.0923
63145.mp3,Air brake,0.0921
166975.mp3,Air brake,0.092
144438.mp3,Air brake,0.0919
271417.mp3,Air brake,0.0917
127872.mp3,Air brake,0.0916
70940.mp3,Air brake,0.0913
85705.mp3,Air brake,0.0911
74912.mp3,Air brake,0.0902
285357.mp3,Air brake,0.0889
251917.mp3,Air brake,0.0887
157492.mp3,Air brake,0.0873
92641.mp3,Air brake,0.0866
290791.mp3,Air brake,0.0838
282111.mp3,Air brake,0.0816
321794.mp3,Air brake,0.08
39821.mp3,Air brake,0.0798
334267.mp3,Air brake,0.0782
107283.mp3,Air brake,0.078
319923.mp3,Air brake,0.0779
156556.mp3,Air brake,0.0777
119307.mp3,Air brake,0.0773
25.mp3,Air brake,0.0765
124548.mp3,Air brake,0.0765
261338.mp3,Air brake,0.0761
212686.mp3,Air brake,0.0749
74054.mp3,Air brake,0.0748
294836.mp3,Air brake,0.0747
91703.mp3,Air brake,0.0731
128249.mp3,Air brake,0.0725
211742.mp3,Air brake,0.0721
205898.mp3,Air brake,0.072
277978.mp3,Air brake,0.0715
270402.mp3,Air brake,0.0709
89346.mp3,Air brake,0.0707
63270.mp3,Air brake,0.0707
78581.mp3,Air brake,0.0705
51330.mp3,Air brake,0.0697
297214.mp3,Air brake,0.0696
294486.mp3,Air brake,0.069
180912.mp3,Air brake,0.069
264878.mp3,Air brake,0.0682
84290.mp3,Air brake,0.0679
298513.mp3,Air brake,0.0669
17297.mp3,Air brake,0.0668
142784.mp3,Air brake,0.0661
25007.mp3,Air brake,0.0657
124112.mp3,Air brake,0.0656
